WID,woreda_name,obs_date,test_pf_tot,test_pv_only,pop_at_risk,mal_case,iso_year,iso_week,data_source
23,Fogera,2015-11-15,528,216,252718.4531,744,2015,46,Simulated/Demo use only
23,Fogera,2015-11-22,560,232,252718.4531,792,2015,47,Simulated/Demo use only
23,Fogera,2015-11-29,560,253,252718.4531,813,2015,48,Simulated/Demo use only
23,Fogera,2015-12-06,559,265,252718.4531,824,2015,49,Simulated/Demo use only
23,Fogera,2015-12-13,532,275,252718.4531,807,2015,50,Simulated/Demo use only
23,Fogera,2015-12-20,488,269,252718.4531,757,2015,51,Simulated/Demo use only
23,Fogera,2015-12-27,423,256,252718.4531,679,2015,52,Simulated/Demo use only
23,Fogera,2016-01-03,365,220,252718.4531,585,2015,53,Simulated/Demo use only
23,Fogera,2016-01-10,296,192,252718.4531,488,2016,1,Simulated/Demo use only
23,Fogera,2016-01-17,246,160,252718.4531,406,2016,2,Simulated/Demo use only
23,Fogera,2016-01-24,205,131,252718.4531,336,2016,3,Simulated/Demo use only
23,Fogera,2016-01-31,172,109,252718.4531,281,2016,4,Simulated/Demo use only
23,Fogera,2016-02-07,150,111,252718.4531,261,2016,5,Simulated/Demo use only
23,Fogera,2016-02-14,132,109,252718.4531,241,2016,6,Simulated/Demo use only
23,Fogera,2016-02-21,132,114,252718.4531,246,2016,7,Simulated/Demo use only
23,Fogera,2016-02-28,133,127,252718.4531,260,2016,8,Simulated/Demo use only
23,Fogera,2016-03-06,139,142,252718.4531,281,2016,9,Simulated/Demo use only
23,Fogera,2016-03-13,158,150,252718.4531,308,2016,10,Simulated/Demo use only
23,Fogera,2016-03-20,177,164,252718.4531,341,2016,11,Simulated/Demo use only
23,Fogera,2016-03-27,192,173,252718.4531,365,2016,12,Simulated/Demo use only
23,Fogera,2016-04-03,218,180,252718.4531,398,2016,13,Simulated/Demo use only
23,Fogera,2016-04-10,259,195,252718.4531,454,2016,14,Simulated/Demo use only
23,Fogera,2016-04-17,288,226,252718.4531,514,2016,15,Simulated/Demo use only
23,Fogera,2016-04-24,335,265,252718.4531,600,2016,16,Simulated/Demo use only
23,Fogera,2016-05-01,392,355,252718.4531,747,2016,17,Simulated/Demo use only
23,Fogera,2016-05-08,448,442,252718.4531,890,2016,18,Simulated/Demo use only
23,Fogera,2016-05-15,508,538,252718.4531,1046,2016,19,Simulated/Demo use only
23,Fogera,2016-05-22,567,599,252718.4531,1166,2016,20,Simulated/Demo use only
23,Fogera,2016-05-29,596,647,252718.4531,1243,2016,21,Simulated/Demo use only
23,Fogera,2016-06-05,601,624,252718.4531,1225,2016,22,Simulated/Demo use only
23,Fogera,2016-06-12,591,583,252718.4531,1174,2016,23,Simulated/Demo use only
23,Fogera,2016-06-19,542,524,252718.4531,1066,2016,24,Simulated/Demo use only
23,Fogera,2016-06-26,481,484,252718.4531,965,2016,25,Simulated/Demo use only
23,Fogera,2016-07-03,414,414,252718.4531,828,2016,26,Simulated/Demo use only
23,Fogera,2016-07-10,335,337,252718.4531,672,2016,27,Simulated/Demo use only
23,Fogera,2016-07-17,258,279,257267.3853,537,2016,28,Simulated/Demo use only
23,Fogera,2016-07-24,198,223,257267.3853,421,2016,29,Simulated/Demo use only
23,Fogera,2016-07-31,150,161,257267.3853,311,2016,30,Simulated/Demo use only
23,Fogera,2016-08-07,118,129,257267.3853,247,2016,31,Simulated/Demo use only
23,Fogera,2016-08-14,105,128,257267.3853,233,2016,32,Simulated/Demo use only
23,Fogera,2016-08-21,104,116,257267.3853,220,2016,33,Simulated/Demo use only
23,Fogera,2016-08-28,106,108,257267.3853,214,2016,34,Simulated/Demo use only
23,Fogera,2016-09-04,105,106,257267.3853,211,2016,35,Simulated/Demo use only
23,Fogera,2016-09-11,113,102,257267.3853,215,2016,36,Simulated/Demo use only
23,Fogera,2016-09-18,117,113,257267.3853,230,2016,37,Simulated/Demo use only
23,Fogera,2016-09-25,117,122,257267.3853,239,2016,38,Simulated/Demo use only
23,Fogera,2016-10-02,124,127,257267.3853,251,2016,39,Simulated/Demo use only
23,Fogera,2016-10-09,131,131,257267.3853,262,2016,40,Simulated/Demo use only
23,Fogera,2016-10-16,132,138,257267.3853,270,2016,41,Simulated/Demo use only
23,Fogera,2016-10-23,135,135,257267.3853,270,2016,42,Simulated/Demo use only
23,Fogera,2016-10-30,144,140,257267.3853,284,2016,43,Simulated/Demo use only
23,Fogera,2016-11-06,140,150,257267.3853,290,2016,44,Simulated/Demo use only
23,Fogera,2016-11-13,143,161,257267.3853,304,2016,45,Simulated/Demo use only
23,Fogera,2016-11-20,143,162,257267.3853,305,2016,46,Simulated/Demo use only
23,Fogera,2016-11-27,143,162,257267.3853,305,2016,47,Simulated/Demo use only
23,Fogera,2016-12-04,132,153,257267.3853,285,2016,48,Simulated/Demo use only
23,Fogera,2016-12-11,122,139,257267.3853,261,2016,49,Simulated/Demo use only
23,Fogera,2016-12-18,101,114,257267.3853,215,2016,50,Simulated/Demo use only
23,Fogera,2016-12-25,82,94,257267.3853,176,2016,51,Simulated/Demo use only
23,Fogera,2017-01-01,65,71,257267.3853,136,2016,52,Simulated/Demo use only
23,Fogera,2017-01-08,49,54,257267.3853,103,2017,1,Simulated/Demo use only
23,Fogera,2017-01-15,40,42,257267.3853,82,2017,2,Simulated/Demo use only
23,Fogera,2017-01-22,37,31,257267.3853,68,2017,3,Simulated/Demo use only
23,Fogera,2017-01-29,37,28,257267.3853,65,2017,4,Simulated/Demo use only
23,Fogera,2017-02-05,33,24,257267.3853,57,2017,5,Simulated/Demo use only
23,Fogera,2017-02-12,33,25,257267.3853,58,2017,6,Simulated/Demo use only
23,Fogera,2017-02-19,30,21,257267.3853,51,2017,7,Simulated/Demo use only
23,Fogera,2017-02-26,29,27,257267.3853,56,2017,8,Simulated/Demo use only
23,Fogera,2017-03-05,27,28,257267.3853,55,2017,9,Simulated/Demo use only
23,Fogera,2017-03-12,25,29,257267.3853,54,2017,10,Simulated/Demo use only
23,Fogera,2017-03-19,24,27,257267.3853,51,2017,11,Simulated/Demo use only
23,Fogera,2017-03-26,23,31,257267.3853,54,2017,12,Simulated/Demo use only
23,Fogera,2017-04-02,25,28,257267.3853,53,2017,13,Simulated/Demo use only
23,Fogera,2017-04-09,27,28,257267.3853,55,2017,14,Simulated/Demo use only
23,Fogera,2017-04-16,30,27,257267.3853,57,2017,15,Simulated/Demo use only
23,Fogera,2017-04-23,36,30,257267.3853,66,2017,16,Simulated/Demo use only
23,Fogera,2017-04-30,43,33,257267.3853,76,2017,17,Simulated/Demo use only
23,Fogera,2017-05-07,50,36,257267.3853,86,2017,18,Simulated/Demo use only
23,Fogera,2017-05-14,59,40,257267.3853,99,2017,19,Simulated/Demo use only
23,Fogera,2017-05-21,65,46,257267.3853,111,2017,20,Simulated/Demo use only
23,Fogera,2017-05-28,69,47,257267.3853,116,2017,21,Simulated/Demo use only
23,Fogera,2017-06-04,71,47,257267.3853,118,2017,22,Simulated/Demo use only
23,Fogera,2017-06-11,70,44,257267.3853,114,2017,23,Simulated/Demo use only
23,Fogera,2017-06-18,65,35,257267.3853,100,2017,24,Simulated/Demo use only
23,Fogera,2017-06-25,59,29,257267.3853,88,2017,25,Simulated/Demo use only
23,Fogera,2017-07-02,51,21,257267.3853,72,2017,26,Simulated/Demo use only
23,Fogera,2017-07-09,44,13,257267.3853,57,2017,27,Simulated/Demo use only
23,Fogera,2017-07-16,35,9,261898.1982,44,2017,28,Simulated/Demo use only
23,Fogera,2017-07-23,27,10,261898.1982,37,2017,29,Simulated/Demo use only
23,Fogera,2017-07-30,22,10,261898.1982,32,2017,30,Simulated/Demo use only
23,Fogera,2017-08-06,17,10,261898.1982,27,2017,31,Simulated/Demo use only
23,Fogera,2017-08-13,12,9,261898.1982,21,2017,32,Simulated/Demo use only
23,Fogera,2017-08-20,12,10,261898.1982,22,2017,33,Simulated/Demo use only
23,Fogera,2017-08-27,11,8,261898.1982,19,2017,34,Simulated/Demo use only
23,Fogera,2017-09-03,10,6,261898.1982,16,2017,35,Simulated/Demo use only
23,Fogera,2017-09-10,11,5,261898.1982,16,2017,36,Simulated/Demo use only
23,Fogera,2017-09-17,12,5,261898.1982,17,2017,37,Simulated/Demo use only
23,Fogera,2017-09-24,11,4,261898.1982,15,2017,38,Simulated/Demo use only
23,Fogera,2017-10-01,10,5,261898.1982,15,2017,39,Simulated/Demo use only
23,Fogera,2017-10-08,14,5,261898.1982,19,2017,40,Simulated/Demo use only
23,Fogera,2017-10-15,15,6,261898.1982,21,2017,41,Simulated/Demo use only
23,Fogera,2017-10-22,16,6,261898.1982,22,2017,42,Simulated/Demo use only
23,Fogera,2017-10-29,18,6,261898.1982,24,2017,43,Simulated/Demo use only
23,Fogera,2017-11-05,20,5,261898.1982,25,2017,44,Simulated/Demo use only
23,Fogera,2017-11-12,18,4,261898.1982,22,2017,45,Simulated/Demo use only
23,Fogera,2017-11-19,18,4,261898.1982,22,2017,46,Simulated/Demo use only
23,Fogera,2017-11-26,17,3,261898.1982,20,2017,47,Simulated/Demo use only
23,Fogera,2017-12-03,18,3,261898.1982,21,2017,48,Simulated/Demo use only
23,Fogera,2017-12-10,16,2,261898.1982,18,2017,49,Simulated/Demo use only
23,Fogera,2017-12-17,15,2,261898.1982,17,2017,50,Simulated/Demo use only
23,Fogera,2017-12-24,13,2,261898.1982,15,2017,51,Simulated/Demo use only
23,Fogera,2017-12-31,10,2,261898.1982,12,2017,52,Simulated/Demo use only
23,Fogera,2018-01-07,9,2,261898.1982,11,2018,1,Simulated/Demo use only
23,Fogera,2018-01-14,8,2,261898.1982,10,2018,2,Simulated/Demo use only
23,Fogera,2018-01-21,6,1,261898.1982,7,2018,3,Simulated/Demo use only
23,Fogera,2018-01-28,6,1,261898.1982,7,2018,4,Simulated/Demo use only
23,Fogera,2018-02-04,5,1,261898.1982,6,2018,5,Simulated/Demo use only
23,Fogera,2018-02-11,3,1,261898.1982,4,2018,6,Simulated/Demo use only
23,Fogera,2018-02-18,5,1,261898.1982,6,2018,7,Simulated/Demo use only
23,Fogera,2018-02-25,7,2,261898.1982,9,2018,8,Simulated/Demo use only
23,Fogera,2018-03-04,7,2,261898.1982,9,2018,9,Simulated/Demo use only
23,Fogera,2018-03-11,8,3,261898.1982,11,2018,10,Simulated/Demo use only
23,Fogera,2018-03-18,9,3,261898.1982,12,2018,11,Simulated/Demo use only
23,Fogera,2018-03-25,8,3,261898.1982,11,2018,12,Simulated/Demo use only
23,Fogera,2018-04-01,7,3,261898.1982,10,2018,13,Simulated/Demo use only
23,Fogera,2018-04-08,7,3,261898.1982,10,2018,14,Simulated/Demo use only
23,Fogera,2018-04-15,8,3,261898.1982,11,2018,15,Simulated/Demo use only
23,Fogera,2018-04-22,10,3,261898.1982,13,2018,16,Simulated/Demo use only
23,Fogera,2018-04-29,12,3,261898.1982,15,2018,17,Simulated/Demo use only
23,Fogera,2018-05-06,14,4,261898.1982,18,2018,18,Simulated/Demo use only
23,Fogera,2018-05-13,18,4,261898.1982,22,2018,19,Simulated/Demo use only
23,Fogera,2018-05-20,22,5,261898.1982,27,2018,20,Simulated/Demo use only
23,Fogera,2018-05-27,26,6,261898.1982,32,2018,21,Simulated/Demo use only
23,Fogera,2018-06-03,30,6,261898.1982,36,2018,22,Simulated/Demo use only
23,Fogera,2018-06-10,34,6,261898.1982,40,2018,23,Simulated/Demo use only
23,Fogera,2018-06-17,34,6,261898.1982,40,2018,24,Simulated/Demo use only
23,Fogera,2018-06-24,31,6,261898.1982,37,2018,25,Simulated/Demo use only
23,Fogera,2018-07-01,24,5,261898.1982,29,2018,26,Simulated/Demo use only
23,Fogera,2018-07-08,20,4,261898.1982,24,2018,27,Simulated/Demo use only
23,Fogera,2018-07-15,15,4,266612.3658,19,2018,28,Simulated/Demo use only
23,Fogera,2018-07-22,13,4,266612.3658,17,2018,29,Simulated/Demo use only
23,Fogera,2018-07-29,11,3,266612.3658,14,2018,30,Simulated/Demo use only
23,Fogera,2018-08-05,12,2,266612.3658,14,2018,31,Simulated/Demo use only
23,Fogera,2018-08-12,9,2,266612.3658,11,2018,32,Simulated/Demo use only
23,Fogera,2018-08-19,8,1,266612.3658,9,2018,33,Simulated/Demo use only
23,Fogera,2018-08-26,8,1,266612.3658,9,2018,34,Simulated/Demo use only
23,Fogera,2018-09-02,9,2,266612.3658,11,2018,35,Simulated/Demo use only
23,Fogera,2018-09-09,9,2,266612.3658,11,2018,36,Simulated/Demo use only
23,Fogera,2018-09-16,11,2,266612.3658,13,2018,37,Simulated/Demo use only
23,Fogera,2018-09-23,10,2,266612.3658,12,2018,38,Simulated/Demo use only
23,Fogera,2018-09-30,12,1,266612.3658,13,2018,39,Simulated/Demo use only
23,Fogera,2018-10-07,14,1,266612.3658,15,2018,40,Simulated/Demo use only
23,Fogera,2018-10-14,17,0,266612.3658,17,2018,41,Simulated/Demo use only
23,Fogera,2018-10-21,18,0,266612.3658,18,2018,42,Simulated/Demo use only
23,Fogera,2018-10-28,26,0,266612.3658,26,2018,43,Simulated/Demo use only
23,Fogera,2018-11-04,27,0,266612.3658,27,2018,44,Simulated/Demo use only
23,Fogera,2018-11-11,29,1,266612.3658,30,2018,45,Simulated/Demo use only
23,Fogera,2018-11-18,29,2,266612.3658,31,2018,46,Simulated/Demo use only
23,Fogera,2018-11-25,30,2,266612.3658,32,2018,47,Simulated/Demo use only
